smiles,scaffold_smiles,split,logp,sas,qed,tpsa
CC(=O)OC1=CC=CC=C1C(=O)O,c1ccccc1,train,2.1854305348131313,2.3330981797737884,0.3093645469887248,100.72435930506776
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,train,4.7782143788446225,3.9385542632026116,0.2975830392575999,115.60176766296468
CC1=C(C=CC=C1)NC(=O)CN2CCN(CC2)CC3=CC=C(C=C3)F,O=C(CN1CCN(Cc2ccccc2)CC1)Nc1ccccc1,train,3.793972738151323,5.428256261443837,0.8250036644168294,50.05614785509988
CC1=CC=C(C=C1)C(=O)NCCCCN2CCN(CC2)C3=CC=CC=C3OC,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1,train,3.1939631788866647,4.795011988843026,0.2996369598796049,94.98489195283987
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2C(=O)C3=CC=CC=C3C2=O,O=C(NN1C(=O)c2ccccc2C1=O)NS(=O)(=O)c1ccccc1,test,1.2020838819909643,5.129525165376524,0.3175597809029048,88.60951797724984
COc1cc(ccc1OC)C(=O)NCCN(C)C,c1ccccc1,train,1.201975341512912,4.464525150198228,0.707518609934371,119.93964521459253
CC(C)OC(=O)C(C)NP(=O)(OC1CCCCC1)OC2CCCCC2,O=[PH](OC1CCCCC1)OC1CCCCC1,train,0.7613762547568976,4.615244540330336,0.459791873960432,128.73044725775128
CC1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)C(=O)O,O=C(Nc1ccccc1)c1ccccc1,train,4.3977926559872085,5.321380432043936,0.721368445564145,21.458812577286416
COC1=CC=C(C=C1)C2=NOC(=N2)C3=CC=CC=C3OC,c1ccc(-c2noc(-c3ccccc3)n2)cc1,test,3.20501755284444,2.623506039866337,0.1522929260515082,100.88239028705512
CC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)S(=O)(=O)N,O=C(Nc1ccccc1)c1ccccc1,test_scaffolds,3.6863266000822046,3.702412336394132,0.4900569549387075,26.22029589436748
CC1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)C#N,O=C(Nc1ccccc1)c1ccccc1,train,0.592630224331111,2.49544248818821,0.1268908801466261,85.86303980928271
COC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N,O=C(Nc1ccccc1)c1ccccc1,train,4.864594334728975,5.944506035984912,0.15012256276428362,54.515927485241384
CC1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N,O=C(Nc1ccccc1)c1ccccc1,train,4.2459918836018975,5.74826702858976,0.8251499626755288,56.81319194265694
CC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N,O=C(Nc1ccccc1)c1ccccc1,train,1.4555259980522428,1.6774206511582765,0.21139629689407613,62.35502041428279
